FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-05-16,2019,5,SO,64.0,84.0,34.0,84.147,Regular
2019-05-17,2019,5,CE,50.0,90.0,12.0,63.971,Regular
2019-05-17,2019,5,NE,57.0,117.0,24.0,74.059,Regular
2019-05-17,2019,5,NO,55.0,96.0,7.0,71.176,Regular
2019-05-17,2019,5,SE,40.0,84.0,13.0,50.0,Buena
2019-05-17,2019,5,SO,46.0,72.0,13.0,58.206,Regular
2019-05-18,2019,5,CE,46.0,78.0,8.0,58.206,Regular
2019-05-18,2019,5,NE,67.0,148.0,29.0,88.471,Regular
2019-05-18,2019,5,NO,49.0,95.0,5.0,62.529,Regular
2019-05-18,2019,5,SE,53.0,115.0,2.0,68.294,Regular
2019-05-18,2019,5,SO,38.0,66.0,8.0,47.5,Buena
2019-05-19,2019,5,CE,43.0,74.0,12.0,53.882,Regular
2019-05-19,2019,5,NE,51.0,85.0,23.0,65.412,Regular
2019-05-19,2019,5,NO,47.0,105.0,8.0,59.647,Regular
2019-05-19,2019,5,SE,49.0,105.0,17.0,62.529,Regular
2019-05-19,2019,5,SO,39.0,70.0,12.0,48.75,Buena
2019-05-20,2019,5,CE,48.0,85.0,16.0,61.088,Regular
2019-05-20,2019,5,NE,58.0,101.0,31.0,75.5,Regular
2019-05-20,2019,5,NO,55.0,121.0,19.0,71.176,Regular
2019-05-20,2019,5,SE,57.0,133.0,16.0,74.059,Regular
2019-05-20,2019,5,SO,49.0,82.0,26.0,62.529,Regular
2019-05-21,2019,5,CE,61.0,109.0,16.0,79.824,Regular
