FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-04-12,2019,4,NE,22.3,58.0,2.0,27.875,Buena
2019-04-12,2019,4,NO,21.5,50.0,2.0,26.875,Buena
2019-04-12,2019,4,SE,25.2,62.0,3.0,31.5,Buena
2019-04-12,2019,4,SO,17.5,44.0,4.0,21.875,Buena
2019-04-13,2019,4,CE,20.0,36.0,8.0,25.0,Buena
2019-04-13,2019,4,NE,25.4,57.0,5.0,31.75,Buena
2019-04-13,2019,4,NO,21.5,37.0,7.0,26.875,Buena
2019-04-13,2019,4,SE,32.8,58.0,17.0,41.0,Buena
2019-04-13,2019,4,SO,16.9,49.0,1.0,21.125,Buena
2019-04-14,2019,4,CE,41.9,61.0,21.0,52.297,Regular
2019-04-14,2019,4,NE,42.6,67.0,17.0,53.306,Regular
2019-04-14,2019,4,NO,36.0,60.0,18.0,45.0,Buena
2019-04-14,2019,4,SO,34.4,54.0,15.0,43.0,Buena
2019-04-15,2019,4,CE,38.4,57.0,21.0,48.0,Buena
2019-04-15,2019,4,NE,40.4,60.0,20.0,0.0,Buena
2019-04-15,2019,4,NO,44.4,59.0,22.0,55.9,Regular
2019-04-15,2019,4,SE,42.3,68.0,24.0,52.874,Regular
2019-04-15,2019,4,SO,37.8,55.0,22.0,47.25,Buena
2019-04-16,2019,4,CE,36.2,53.0,21.0,45.25,Buena
2019-04-16,2019,4,NE,37.8,62.0,25.0,47.25,Buena
2019-04-16,2019,4,NO,37.5,57.0,13.0,46.875,Buena
2019-04-16,2019,4,SE,43.7,61.0,33.0,54.891,Regular
2019-04-16,2019,4,SO,34.7,51.0,20.0,43.375,Buena
2019-04-17,2019,4,CE,32.5,49.0,15.0,40.625,Buena
2019-04-17,2019,4,NE,39.9,65.0,23.0,49.875,Buena
2019-04-17,2019,4,NO,31.3,55.0,3.0,39.125,Buena
2019-04-17,2019,4,SE,45.3,59.0,27.0,57.197,Regular
2019-04-17,2019,4,SO,27.6,44.0,5.0,34.5,Buena
2019-04-18,2019,4,CE,22.5,42.0,5.0,28.125,Buena
2019-04-18,2019,4,NE,30.8,60.0,6.0,38.5,Buena
2019-04-18,2019,4,NO,23.5,54.0,6.0,29.375,Buena
2019-04-18,2019,4,SE,32.4,59.0,11.0,40.5,Buena
2019-04-18,2019,4,SO,20.9,46.0,1.0,26.125,Buena
2019-04-19,2019,4,CE,18.8,42.0,2.0,23.5,Buena
2019-04-19,2019,4,NE,19.5,60.0,2.0,24.375,Buena
2019-04-19,2019,4,NO,17.6,31.0,3.0,22.0,Buena
2019-04-19,2019,4,SE,23.0,59.0,1.0,28.75,Buena
2019-04-19,2019,4,SO,20.2,45.0,3.0,25.25,Buena
2019-04-20,2019,4,CE,18.3,36.0,4.0,22.875,Buena
2019-04-20,2019,4,NE,19.5,56.0,4.0,24.375,Buena
2019-04-20,2019,4,NO,17.5,32.0,7.0,21.875,Buena
2019-04-20,2019,4,SE,21.9,58.0,8.0,27.375,Buena
2019-04-20,2019,4,SO,18.2,35.0,7.0,22.75,Buena
2019-04-21,2019,4,CE,24.9,43.0,6.0,31.125,Buena
2019-04-21,2019,4,NE,27.4,57.0,12.0,34.25,Buena
2019-04-21,2019,4,NO,24.3,37.0,12.0,30.375,Buena
2019-04-21,2019,4,SE,27.0,42.0,6.0,33.75,Buena
2019-04-21,2019,4,SO,20.2,42.0,6.0,25.25,Buena
2019-04-22,2019,4,CE,30.8,56.0,9.0,38.5,Buena
2019-04-22,2019,4,NE,37.5,68.0,16.0,46.875,Buena
2019-04-22,2019,4,NO,32.5,45.0,21.0,40.625,Buena
2019-04-22,2019,4,SE,40.2,60.0,26.0,0.0,Buena
2019-04-22,2019,4,SO,27.1,44.0,11.0,33.875,Buena
2019-04-23,2019,4,CE,35.1,60.0,10.0,43.875,Buena
2019-04-23,2019,4,NE,36.7,65.0,14.0,45.875,Buena
2019-04-23,2019,4,NO,34.6,56.0,20.0,43.25,Buena
2019-04-23,2019,4,SE,40.6,59.0,25.0,0.0,Buena
2019-04-23,2019,4,SO,27.9,51.0,11.0,34.875,Buena
2019-04-24,2019,4,CE,36.4,62.0,13.0,45.5,Buena
2019-04-24,2019,4,NE,37.7,58.0,23.0,47.125,Buena
